Starting Simulation...
num_nodes is set 3
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
speed is 40787.563078, pass dst 0
speed is 40812.141805, pass dst 0
speed is 40823.251075, pass dst 0
speed is 40847.873936, pass dst 0
speed is 40872.332998, pass dst 0
speed is 40907.496542, pass dst 0
speed is 40934.182867, pass dst 0
speed is 40958.619690, pass dst 0
speed is 40980.882310, pass dst 0
speed is 41018.439008, pass dst 0
speed is 41045.053020, pass dst 0
speed is 41069.320640, pass dst 0
speed is 41080.322386, pass dst 0
speed is 41091.295596, pass dst 0
speed is 41119.971172, pass dst 0
speed is 41155.003412, pass dst 0
speed is 41189.964181, pass dst 0
speed is 41203.198880, pass dst 0
speed is 41248.294338, pass dst 0
speed is 41261.331908, pass dst 0
speed is 41272.123209, pass dst 0
speed is 41293.791277, pass dst 0
speed is 41320.016835, pass dst 0
speed is 41343.908270, pass dst 0
speed is 41355.886237, pass dst 0
speed is 41379.828679, pass dst 0
speed is 41412.148017, pass dst 0
speed is 41454.389502, pass dst 0
speed is 41478.216923, pass dst 0
speed is 41490.193315, pass dst 0
speed is 41501.351141, pass dst 0
speed is 41535.600696, pass dst 0
speed is 41546.175735, pass dst 0
speed is 41582.401850, pass dst 0
speed is 41603.766387, pass dst 0
speed is 41616.494699, pass dst 0
speed is 41627.070628, pass dst 0
speed is 41652.492353, pass dst 0
speed is 41662.998167, pass dst 0
speed is 41673.495649, pass dst 0
speed is 41694.715519, pass dst 0
speed is 41707.377829, pass dst 0
speed is 41717.902056, pass dst 0
speed is 41728.313883, pass dst 0
speed is 41749.423295, pass dst 0
speed is 41772.677341, pass dst 0
speed is 41806.133058, pass dst 0
speed is 41833.453565, pass dst 0
speed is 41854.426365, pass dst 0
speed is 41880.530044, pass dst 0
speed is 41891.010558, pass dst 0
speed is 41901.829812, pass dst 0
speed is 41924.588384, pass dst 0
speed is 41957.825965, pass dst 0
speed is 41982.778635, pass dst 0
speed is 42015.562376, pass dst 0
speed is 42050.156671, pass dst 0
speed is 42072.760554, pass dst 0
speed is 42082.923358, pass dst 0
speed is 42105.518964, pass dst 0
speed is 42127.805841, pass dst 0
speed is 42138.156622, pass dst 0
speed is 42202.467281, pass dst 0
speed is 42226.756443, pass dst 0
speed is 42258.910774, pass dst 0
speed is 42294.541776, pass dst 0
speed is 42322.611917, pass dst 0
speed is 42332.506926, pass dst 0
speed is 42368.336806, pass dst 0
speed is 42411.784838, pass dst 0
speed is 42435.662825, pass dst 0
speed is 42449.039831, pass dst 0
speed is 42478.596158, pass dst 0
speed is 42498.077919, pass dst 0
speed is 42512.656839, pass dst 0
speed is 42543.903709, pass dst 0
speed is 42553.480292, pass dst 0
speed is 42574.749312, pass dst 0
speed is 42596.040389, pass dst 0
speed is 42617.256141, pass dst 0
speed is 42638.435654, pass dst 0
speed is 42649.841416, pass dst 0
speed is 42668.964561, pass dst 0
speed is 42692.107096, pass dst 0
speed is 42711.071347, pass dst 0
speed is 42734.125099, pass dst 0
speed is 42753.098115, pass dst 0
speed is 42762.538720, pass dst 0
speed is 42771.911520, pass dst 0
speed is 42794.465639, pass dst 0
speed is 42817.135061, pass dst 0
speed is 42849.045095, pass dst 0
speed is 42858.362943, pass dst 0
speed is 42867.687004, pass dst 0
speed is 42886.592097, pass dst 0
speed is 42906.825272, pass dst 0
speed is 42918.046038, pass dst 0
speed is 42927.254188, pass dst 0
speed is 42936.377058, pass dst 0
speed is 42956.571864, pass dst 0
speed is 42965.836730, pass dst 0
speed is 42995.059475, pass dst 0
speed is 43016.973774, pass dst 0
speed is 43043.973869, pass dst 0
speed is 43063.894996, pass dst 0
speed is 43075.012036, pass dst 0
speed is 43084.876791, pass dst 0
speed is 43096.009937, pass dst 0
speed is 43114.147028, pass dst 0
speed is 43123.204291, pass dst 0
speed is 43155.472674, pass dst 0
speed is 43164.345024, pass dst 0
speed is 43191.145240, pass dst 0
speed is 43210.607234, pass dst 0
speed is 43229.950422, pass dst 0
speed is 43249.506564, pass dst 0
speed is 43270.604937, pass dst 0
speed is 43279.352973, pass dst 0
speed is 43296.773251, pass dst 0
speed is 43309.022431, pass dst 0
speed is 43345.291169, pass dst 0
speed is 43353.868312, pass dst 0
speed is 43362.397567, pass dst 0
speed is 43391.626164, pass dst 0
speed is 43435.718558, pass dst 0
speed is 43454.430974, pass dst 0
speed is 43483.113844, pass dst 0
speed is 43501.497080, pass dst 0
speed is 43521.573795, pass dst 0
speed is 43539.743136, pass dst 0
speed is 43557.889449, pass dst 0
speed is 43566.168741, pass dst 0
speed is 43584.388967, pass dst 0
speed is 43612.156617, pass dst 0
speed is 43630.270319, pass dst 0
speed is 43638.368263, pass dst 0
speed is 43665.764222, pass dst 0
speed is 43673.747790, pass dst 0
speed is 43699.490791, pass dst 0
speed is 43715.550328, pass dst 0
speed is 43732.928995, pass dst 0
speed is 43755.108813, pass dst 0
speed is 43762.904520, pass dst 0
speed is 43795.740520, pass dst 0
speed is 43820.496112, pass dst 0
speed is 43851.273861, pass dst 0
speed is 43868.174189, pass dst 0
speed is 43884.981133, pass dst 0
speed is 43901.813293, pass dst 0
speed is 43925.996601, pass dst 0
speed is 43952.928289, pass dst 0
speed is 43967.888131, pass dst 0
speed is 43976.797574, pass dst 0
speed is 43991.461179, pass dst 0
speed is 44007.863488, pass dst 0
speed is 44015.155589, pass dst 0
speed is 44040.015802, pass dst 0
speed is 44056.113085, pass dst 0
speed is 44063.251621, pass dst 0
speed is 44070.402040, pass dst 0
speed is 44086.198799, pass dst 0
speed is 44101.997430, pass dst 0
speed is 44109.014293, pass dst 0
speed is 44124.691679, pass dst 0
speed is 44131.696115, pass dst 0
speed is 44154.187983, pass dst 0
speed is 44161.092845, pass dst 0
speed is 44167.980733, pass dst 0
speed is 44184.600351, pass dst 0
speed is 44206.724018, pass dst 0
speed is 44213.484383, pass dst 0
speed is 44221.647667, pass dst 0
speed is 44238.046975, pass dst 0
speed is 44259.781235, pass dst 0
speed is 44267.773537, pass dst 0
speed is 44274.455753, pass dst 0
speed is 44299.751209, pass dst 0
speed is 44307.680823, pass dst 0
speed is 44332.557481, pass dst 0
speed is 44339.012190, pass dst 0
speed is 44346.747753, pass dst 0
speed is 44354.623563, pass dst 0
speed is 44373.788232, pass dst 0
speed is 44387.976744, pass dst 0
speed is 44397.748201, pass dst 0
speed is 44425.490494, pass dst 0
speed is 44431.693134, pass dst 0
speed is 44451.648661, pass dst 0
speed is 44467.760090, pass dst 0
speed is 44473.872540, pass dst 0
speed is 44485.981249, pass dst 0
speed is 44527.748484, pass dst 0
speed is 44546.701904, pass dst 0
speed is 44559.684218, pass dst 0
speed is 44566.635998, pass dst 0
speed is 44572.400173, pass dst 0
speed is 44592.717208, pass dst 0
speed is 44605.282800, pass dst 0
speed is 44624.450057, pass dst 0
speed is 44630.097454, pass dst 0
speed is 44641.179057, pass dst 0
speed is 44658.888823, pass dst 0
speed is 44670.991159, pass dst 0
speed is 44682.965231, pass dst 0
speed is 44697.044594, pass dst 0
speed is 44702.908367, pass dst 0
speed is 44709.441731, pass dst 0
speed is 44716.283203, pass dst 0
speed is 44722.796744, pass dst 0
speed is 44729.114181, pass dst 0
speed is 44734.275398, pass dst 0
speed is 29083.354018, pass dst 2
speed is 44753.136737, pass dst 0
speed is 29072.524843, pass dst 2
speed is 44769.475498, pass dst 0
speed is 44774.581764, pass dst 0
